id;transaction_date;transaction_type;fee_name;transaction_number;details;seller_sku;lazada_sku;amount;vat_in_amount;wht_amount;wht_included_in_amount;statement;paid_status;order_no;order_item_no;order_item_status;shipping_provider;shipping_speed;shipment_type;reference;comment;payment_ref_id;internal_status
1;2022-07-17T14:38:51;Switzerland quantify;markets;Bedfordshire;Keyboard;HDD;embrace;68642;29072;66855;false;engage Producer;Customer;transform;Bedfordshire;Comoros Tools;Walk;portals Beauty Movies;Shoes;Land;invoice;non-volatile Distributed array;azure
2;2022-07-18T02:46:56;Rubber Utah Jordan;Beauty infrastructures Uruguay;Direct;payment Steel;synthesize Krone North;Branding Locks 1080p;91912;87513;37340;true;Direct world-class;Brand Technician;Investment;Soap Cotton;JSON neutral;Lek architect Investment;Direct solid indexing;turquoise;1080p mindshare Account;Crescent magenta;lavender Account;Cambridgeshire
3;2022-07-18T00:40:00;Factors Operations;archive Strategist;Kids Trail card;Consultant;Infrastructure monitor;Outdoors black;99540;7866;74001;false;Generic fault-tolerant Dollar;Small Small;Rubber online Planner;Group copy hacking;cutting-edge Small;hacking;bluetooth Mexican revolutionize;violet SDD;heuristic Rubber;alarm matrix National;Keyboard;Self-enabling Chips Web
4;2022-07-17T09:15:31;utilisation;compressing JBOD;Towels Factors Costa;Steel;plug-and-play optimize generate;program;63639;53034;29108;true;Borders Engineer Unbranded;Beauty Checking;magnetic;Inverse global violet;bypassing Bahamas Soap;Florida Fantastic Alaska;card evolve Unbranded;Cheese COM toolset;Tasty Agent granular;green;Small Representative Steel;hacking Berkshire Division
5;2022-07-17T20:09:19;cyan Investor;Maine Multi-layered alliance;port migration Mexico;Handmade;visualize Account Bedfordshire;Michigan;90481;40793;29346;true;Russian Rubber;Liberia redundant;bypass navigate;world-class Analyst Chicken;Franc fresh-thinking;Keys killer;Dynamic salmon Islands;Surinam;Gorgeous Investor payment;mission-critical PCI;payment Senior Chief;Squares transition bypass
6;2022-07-17T05:53:35;Bahamian;Avon;Home;navigating Paradigm backing;Associate SMS mobile;Automated orange 1080p;26750;23679;78958;true;deposit Light;haptic transform;Towels Virginia;copy;reboot Interactions sensor;sky;Borders Arkansas;Connecticut;Mouse;payment;Cambridgeshire generate;Avon Wooden
7;2022-07-17T14:10:31;Silver Belize transmit;holistic;parsing Pizza extend;Cedi Shirt;Account;productivity;64675;88608;52344;false;quantifying;quantifying Riel multimedia;payment;digital Pula;lime Quality;alarm mission-critical Coordinator;Directives;Outdoors;Versatile Shoes grow;grow Direct Forward;Convertible;driver Soft Legacy
8;2022-07-17T11:24:49;program Designer York;Street Awesome Steel;open-source cyan;distributed Dinar vertical;Managed;Principal Unbranded Concrete;40626;19429;83007;false;Grocery systems;Unbranded;orchestrate;bandwidth Sausages;Personal Row Agent;bluetooth transmitting;invoice District;back SDD Awesome;Buckinghamshire;Soap;online;Grocery
9;2022-07-17T21:51:28;Refined synthesizing capability;customized Solutions Licensed;Analyst bluetooth plum;Cotton Cambridgeshire Automotive;local;scalable;26456;35238;48083;false;Cove Customer;Berkshire compress Generic;Wooden Specialist Bike;mobile Granite;Islands, Handcrafted;withdrawal Paradigm Account;enhance Sol THX;USB tolerance;Buckinghamshire Berkshire;Fields sticky Quality-focused;aggregate Refined utilize;Computer
10;2022-07-17T20:20:24;Pre-emptive;AGP Account;Optional bluetooth;deposit;deposit lime panel;architectures;66977;73727;63577;false;Square Steel Lempira;Western communities;flexibility scale;Account Springs;expedite optical Trafficway;Chicken;Corporate;parse Fresh input;Movies;haptic;Central Summit;conglomeration Pants
