id;client_name;client_code;client_type;validity_date
1;reciprocal withdrawal;synthesize compressing;PRO;2022-07-10T19:49:26
2;parse compressing;plug-and-play envisioneer Metrics;PRO;2022-07-11T05:48:04
3;Integration e-markets;Handcrafted iterate PNG;BASIC;2022-07-10T23:56:02
4;compressing Springs Jewelery;parsing Licensed morph;PRO;2022-07-11T04:05:53
5;Account Concrete;methodologies;PRO;2022-07-10T21:48:27
6;Savings grey connect;Licensed;BASIC;2022-07-11T12:01:40
7;paradigms transitional Multi-layered;parsing orange copying;PRO;2022-07-11T06:36:51
8;haptic;Via;PRO;2022-07-10T16:41:35
9;Enhanced;Granite Agent overriding;BASIC;2022-07-10T23:23:32
10;Plastic Small;Automotive Fantastic Ball;BASIC;2022-07-11T10:22:12
