id;order_id;refund_id;username_buyer;order_creation_date;buyer_payment_method;payout_completed_date;original_product_price;seller_product_promotion;refund_amount_to_buyer;product_discount_rebate_from_shopee;seller_voucher_discount;seller_absorbed_coin_cashback;buyer_paid_shipping_fee;shipping_fee_rebate_from_shopee;third_party_logistics_defined_shipping_fee;reverse_shipping_fee;commission_fee;service_fee;transaction_fee;total_released_amount;seller_voucher_code;lost_compensation;total_actual_weight_per_order;shipping_fee_promotion_by_seller;shipping_provider;courier_name
1;Personal Direct Dynamic;EXE;Account black;2022-07-25T09:09:52;program;2022-07-25T19:23:15;36334;52197;9985;32517;91489;37290;6717;60180;19958;20032;80264;1124;70880;67622;withdrawal Account;36671;84477;65177;Chief;Assistant interfaces world-class
2;bypassing;Carolina revolutionize;Books;2022-07-25T16:33:53;bluetooth Berkshire Soft;2022-07-26T05:17:11;26030;38245;49259;95280;86631;84412;36203;45842;14455;66587;95336;78754;69384;25482;Phased;22113;13378;65462;Global Tools;Steel architectures Soft
3;Fort Fish;seamless interface;Principal Isle;2022-07-25T12:09:16;function Future-proofed;2022-07-26T03:37:35;96483;97929;1145;90400;71428;38375;33855;98411;93332;65466;27910;93030;11872;17600;customized implement;33744;44700;97947;Officer incubate Pass;primary EXE
4;Shoes;Small Wooden;Berkshire quantifying;2022-07-26T02:51:25;content-based Hampshire;2022-07-26T04:32:52;41342;19571;10498;57835;19064;71817;23625;98875;21733;96608;76422;46615;88384;19644;Mississippi Games California;19733;45796;89550;technologies middleware;capability Strategist Seychelles
5;haptic National Garden;Games;Jewelery Bedfordshire;2022-07-26T00:32:06;strategy synthesize;2022-07-25T16:50:22;29450;57897;39923;34525;17083;45731;26545;63061;12761;64199;56791;79381;26701;88096;connect;35703;64860;99082;harness Berkshire;attitude
6;Sharable Accountability;Hong Village Right-sized;Officer Egypt maroon;2022-07-25T20:50:53;hacking;2022-07-25T10:48:06;31512;84124;1705;19422;39028;86189;82110;49324;91594;84744;51609;99609;27043;33449;neutral pink;13830;58035;82030;service-desk Cambridgeshire orange;Generic logistical Soft
7;Loop driver;compress;systems;2022-07-25T17:46:41;AGP;2022-07-25T18:04:40;34286;8204;67879;76727;97039;53644;52067;72912;73178;97442;80979;26368;56815;63170;Pizza;18683;83875;35747;RSS Saint Mandatory;Granite Manager Cambridgeshire
8;Multi-lateral Account;fuchsia Avon;Berkshire Avon deliver;2022-07-25T08:18:42;Account Dynamic Table;2022-07-25T16:00:02;199;18659;74850;65337;76736;8260;78467;82063;50846;56769;59644;90961;52555;673;applications;93354;37450;82113;Shoes;modular
9;card Product;Borders indexing connecting;Wooden;2022-07-25T22:09:50;Cotton;2022-07-25T15:35:17;20026;20589;44939;50669;52894;64496;51326;91429;94849;51463;86428;80201;39767;49743;interface Checking Cotton;52356;71308;17384;bluetooth haptic Borders;matrix Investment
10;ubiquitous;Central virtual;program copying 4th;2022-07-25T19:21:04;Auto;2022-07-25T22:28:36;38463;38881;25284;1201;35547;55129;53974;33665;22219;36618;62577;57060;29580;7625;sensor California;3987;18888;23763;ivory Shoes;Computers
